SKU,Medication Name,Category,Strength,Dosage Form,Brand Name,Purchase Price (₦),Selling Price (₦),Current Stock,Reorder Level,Batch Number,Supplier,Warehouse Location,Expiry Date
SKU00036,Gabapentin,Antiepileptic,300mg,Tablet,May & Baker,6513,7606.63,253,84,BT786673,Swiss Pharma Nigeria,A1,2027-10-21
SKU00037,Fluoxetine,Psychiatric,5mg,Tablet,Fidson,8493,12484.54,851,89,BT317473,Drugfield Pharmaceuticals,C2,2027-12-16
SKU00038,Ceftriaxone,Antibiotic,500mg,Suspension,May & Baker,9414,12975.12,281,66,BT718056,Swiss Pharma Nigeria,C1,2030-02-08
SKU00039,Brimonidine,General Medicine,50mg,Tablet,Juhel,7836,10211.17,109,77,BT951590,May & Baker Nigeria,C2,2027-09-28
SKU00040,Cefotaxime,Antibiotic,250mg,Injection,Evans,15352,18423.47,201,92,BT703368,Fidson Healthcare,A3,2029-03-20
SKU00041,Amlodipine,Antihypertensive,25mg,Tablet,Emzor,11566,15227.83,114,74,BT214173,Swiss Pharma Nigeria,D3,2029-01-31
SKU00042,Tazobactam,Antibiotic,125mg,Suspension,Fidson,3946,5668.76,553,26,BT898564,Fidson Healthcare,B2,2027-01-16
SKU00043,Hydrochlorothiazide,Diuretic,100mg,Tablet,Drugfield,19115,22730.55,592,98,BT591722,Swiss Pharma Nigeria,D1,2027-11-15
SKU00044,Fluoxetine,Psychiatric,100mg,Tablet,Evans,12999,17518.64,550,84,BT987796,May & Baker Nigeria,D2,2028-06-03
SKU00045,Brimonidine,General Medicine,10mg,Tablet,Juhel,3580,5528.47,50,45,BT502773,Drugfield Pharmaceuticals,C1,2030-03-12
SKU00046,Insulin Aspart,Antidiabetic,1000mg,Tablet,Emzor,12794,19205.08,32,31,BT267347,Emzor Pharmaceuticals,C1,2027-07-23
SKU00047,Bromocriptine,General Medicine,100mg,Capsule,Juhel,4369,6012.51,728,31,BT489585,Fidson Healthcare,D3,2028-04-22
SKU00048,Citalopram,Psychiatric,25mg,Tablet,Fidson,9423,13014.82,164,81,BT793095,Evans Medical,A3,2028-05-31
SKU00049,Omeprazole,Antifungal,150mg,Cream,Fidson,9903,15376.02,860,20,BT258034,Fidson Healthcare,A3,2028-04-02
SKU00050,Mebendazole,Antifungal,200mg,Tablet,Fidson,17554,20680.8,938,61,BT971064,Emzor Pharmaceuticals,B2,2029-10-31
SKU00051,Duloxetine,Psychiatric,50mg,Tablet,Fidson,14115,22282.12,32,89,BT776074,Evans Medical,B3,2027-05-15
SKU00052,Domperidone,General Medicine,5mg,Tablet,Evans,19693,26863.56,274,38,BT194334,Fidson Healthcare,C1,2028-01-03
SKU00053,Tadalafil,General Medicine,5mg,Tablet,GSK,9364,11149.96,636,58,BT259408,Drugfield Pharmaceuticals,A3,2027-01-01
SKU00054,Paroxetine,Psychiatric,50mg,Tablet,Emzor,12462,18496.64,961,74,BT711486,Evans Medical,C3,2027-04-16
SKU00055,Nitroglycerin,General Medicine,50mg,Capsule,Swiss Pharma,10095,14217.65,592,74,BT226698,Fidson Healthcare,C2,2029-12-11
SKU00056,Olanzapine,Psychiatric,10mg,Tablet,Fidson,11752,16764.18,155,62,BT934207,Emzor Pharmaceuticals,D3,2029-08-30
SKU00057,Tazobactam,Antibiotic,250mg,Tablet,May & Baker,17073,26522.5,585,28,BT208966,Swiss Pharma Nigeria,B2,2029-01-04
SKU00058,Rivastigmine,General Medicine,10mg,Tablet,Emzor,9338,12741.45,353,87,BT215605,Emzor Pharmaceuticals,D1,2029-04-28
SKU00059,Valsartan,Antihypertensive,25mg,Tablet,Evans,18194,27976.27,594,26,BT737821,Evans Medical,B3,2027-08-18
SKU00060,Azithromycin,Antibiotic,500mg,Injection,Pfizer,11241,16878.9,723,47,BT365810,Emzor Pharmaceuticals,B2,2029-05-09
SKU00061,Cefotaxime,Antibiotic,1g,Capsule,Pfizer,731,1136.15,538,80,BT693869,Fidson Healthcare,D2,2029-01-27
SKU00062,Vitamin D3,General Medicine,10mg,Capsule,GSK,8401,11232.0,60,21,BT688089,May & Baker Nigeria,A3,2029-10-24
SKU00063,Bromocriptine,General Medicine,100mg,Tablet,May & Baker,15298,20385.85,484,82,BT935429,Fidson Healthcare,C3,2030-01-05
SKU00064,Fexofenadine,Antihistamine,120mg,Syrup,Juhel,2890,3973.29,304,50,BT383687,Swiss Pharma Nigeria,A1,2027-08-25
SKU00065,Salbutamol,Respiratory,4mg,Nebule,Juhel,19139,24701.7,90,42,BT987964,Emzor Pharmaceuticals,D3,2029-02-01
SKU00066,Levetiracetam,Antiepileptic,300mg,Capsule,Pfizer,11377,14049.76,192,58,BT598234,Drugfield Pharmaceuticals,A2,2029-12-01
SKU00067,Diazepam,Psychiatric,25mg,Tablet,GSK,5335,8214.3,66,94,BT937344,Fidson Healthcare,B3,2027-09-12
SKU00068,Ethambutol,Antibiotic,125mg,Tablet,Pfizer,19992,26218.85,958,96,BT389613,Emzor Pharmaceuticals,C1,2027-04-11
SKU00069,Empagliflozin,Antidiabetic,25mg,Injection,May & Baker,8645,11205.21,46,98,BT154086,Emzor Pharmaceuticals,B2,2029-12-28
SKU00070,Phenytoin,Antiepileptic,300mg,Capsule,Pfizer,13727,16600.64,301,23,BT501466,Fidson Healthcare,C3,2027-02-22
SKU00071,Sulfasalazine,General Medicine,5mg,Capsule,Juhel,15147,21113.01,69,35,BT753047,Emzor Pharmaceuticals,B3,2029-03-09
SKU00072,Citalopram,Psychiatric,50mg,Tablet,Pfizer,9614,11360.77,899,58,BT175392,Evans Medical,D3,2028-07-29
SKU00073,Allopurinol,General Medicine,5mg,Capsule,Drugfield,10564,15654.8,370,26,BT891345,Swiss Pharma Nigeria,B1,2029-12-14
SKU00074,Enoxaparin,Anticoagulant,5mg,Tablet,Juhel,14922,17271.97,946,90,BT874429,Swiss Pharma Nigeria,C3,2029-07-06
SKU00075,Loperamide,General Medicine,25mg,Tablet,Juhel,14862,18027.56,184,61,BT994388,May & Baker Nigeria,C3,2028-02-25
SKU00076,Methyldopa,Antihypertensive,100mg,Tablet,Pfizer,182,262.64,554,33,BT782128,May & Baker Nigeria,D2,2028-02-07
SKU00077,Lamotrigine,Antiepileptic,500mg,Capsule,Neimeth,11266,17683.64,284,42,BT447507,Evans Medical,B3,2026-11-27
SKU00078,Ethambutol,Antibiotic,625mg,Suspension,Drugfield,11024,12755.23,759,95,BT813844,Drugfield Pharmaceuticals,B3,2028-08-01
SKU00079,Mirtazapine,Psychiatric,10mg,Tablet,Swiss Pharma,7182,10505.24,69,63,BT609434,May & Baker Nigeria,C3,2027-07-11
SKU00080,Ethambutol,Antibiotic,250mg,Capsule,Neimeth,13206,16556.02,1000,48,BT734611,Drugfield Pharmaceuticals,C3,2029-02-01
SKU00081,Rosuvastatin,Statin,40mg,Tablet,GSK,16714,25624.11,514,59,BT853004,Swiss Pharma Nigeria,D3,2027-10-26
SKU00082,Famotidine,General Medicine,25mg,Tablet,Fidson,10077,13398.03,422,98,BT643924,Emzor Pharmaceuticals,C2,2030-02-15
SKU00083,Dabigatran,Anticoagulant,20mg,Tablet,Neimeth,13329,18410.21,453,62,BT288030,Swiss Pharma Nigeria,C2,2030-03-07
SKU00084,Gentamicin,General Medicine,25mg,Tablet,Neimeth,3000,4403.03,284,43,BT688227,Evans Medical,C2,2030-04-18
SKU00085,Propylthiouracil,General Medicine,10mg,Tablet,Swiss Pharma,18050,21034.35,748,59,BT279296,May & Baker Nigeria,A1,2027-08-16
SKU00086,Diclofenac,NSAID,400mg,Capsule,Juhel,10649,12763.2,840,95,BT933279,Emzor Pharmaceuticals,C3,2028-11-24
SKU00087,Insulin Glargine,Antidiabetic,10mg,Injection,May & Baker,3165,4906.57,778,71,BT923140,Evans Medical,A1,2028-12-18
SKU00088,Sildenafil,General Medicine,50mg,Capsule,Pfizer,19124,29384.47,285,28,BT295751,Fidson Healthcare,C1,2027-05-02
SKU00089,Apixaban,Anticoagulant,5mg,Injection,Evans,17053,19907.46,9,88,BT926461,Drugfield Pharmaceuticals,B1,2028-11-22
SKU00090,Cefotaxime,Antibiotic,250mg,Injection,Swiss Pharma,16548,19712.52,741,83,BT717324,Drugfield Pharmaceuticals,C2,2027-07-30
SKU00091,Warfarin,Anticoagulant,10mg,Injection,May & Baker,14052,20617.86,429,80,BT391909,Evans Medical,B2,2026-10-10
SKU00092,Carbidopa,General Medicine,25mg,Tablet,Juhel,9865,13921.57,414,85,BT695599,Emzor Pharmaceuticals,B2,2027-11-01
SKU00093,Erythromycin,Antibiotic,250mg,Capsule,Emzor,6355,8673.31,618,44,BT748112,May & Baker Nigeria,A3,2027-04-18
SKU00094,Vancomycin,Antibiotic,125mg,Capsule,Pfizer,260,331.52,791,79,BT589566,Evans Medical,D1,2028-10-14
SKU00095,Amlodipine,Antihypertensive,2.5mg,Tablet,Juhel,16891,19435.03,932,31,BT373976,Swiss Pharma Nigeria,C2,2028-02-15
SKU00096,Azathioprine,General Medicine,10mg,Capsule,Swiss Pharma,10231,14754.3,908,89,BT247013,Evans Medical,D1,2029-09-22
SKU00097,Venlafaxine,Psychiatric,25mg,Tablet,Drugfield,17083,24834.75,572,26,BT652295,Swiss Pharma Nigeria,B2,2030-01-19
SKU00098,Amoxicillin,Antibiotic,250mg,Injection,Pfizer,17048,23071.66,891,70,BT667034,Emzor Pharmaceuticals,D2,2029-05-30
SKU00099,Erythromycin,Antibiotic,625mg,Suspension,Swiss Pharma,4679,7451.73,252,81,BT474937,May & Baker Nigeria,B3,2027-02-07
SKU00100,Amoxicillin,Antibiotic,625mg,Capsule,Pfizer,7518,8864.42,655,95,BT330150,Drugfield Pharmaceuticals,B1,2027-10-05
SKU00101,Topiramate,Antiepileptic,300mg,Capsule,GSK,17113,21200.68,410,100,BT843286,Fidson Healthcare,B1,2030-02-15
SKU00102,Azithromycin,Antibiotic,625mg,Suspension,May & Baker,3367,5309.64,638,95,BT381788,Fidson Healthcare,D3,2029-03-14
SKU00103,Levothyroxine,General Medicine,25mg,Tablet,Neimeth,9457,13585.09,33,61,BT446642,Drugfield Pharmaceuticals,C2,2027-08-15
SKU00104,Amiodarone,General Medicine,100mg,Tablet,Pfizer,4685,6536.52,518,58,BT836950,Fidson Healthcare,C1,2028-06-01
SKU00105,Betamethasone,Corticosteroid,4mg,Cream,Evans,10290,15863.9,84,96,BT336991,Drugfield Pharmaceuticals,C3,2028-01-15
SKU00106,Isoniazid,Antibiotic,625mg,Capsule,Pfizer,3115,3741.64,275,50,BT628243,Drugfield Pharmaceuticals,C1,2030-01-08
SKU00107,Fluoxetine,Psychiatric,25mg,Tablet,Swiss Pharma,10436,14021.25,410,90,BT783988,Evans Medical,C2,2029-05-06
SKU00108,Pilocarpine,General Medicine,100mg,Capsule,Swiss Pharma,13099,15620.18,549,66,BT180996,Swiss Pharma Nigeria,D1,2029-02-23
SKU00109,Linezolid,Antibiotic,500mg,Injection,Emzor,14807,19904.93,184,44,BT600382,Emzor Pharmaceuticals,C3,2028-11-11
SKU00110,Alprazolam,Psychiatric,10mg,Tablet,Emzor,14499,21757.03,862,53,BT120538,Drugfield Pharmaceuticals,D3,2029-08-06
SKU00111,Gliclazide,Antidiabetic,10mg,Tablet,Emzor,14144,17510.41,220,36,BT840752,Emzor Pharmaceuticals,D2,2028-01-06
SKU00112,Pyrimethamine,Antimalarial,100mg,Tablet,Evans,2145,2781.93,999,67,BT616703,Swiss Pharma Nigeria,A3,2027-10-07
SKU00113,Propranolol,Antihypertensive,100mg,Tablet,Neimeth,10946,16815.25,440,55,BT915943,May & Baker Nigeria,B1,2026-12-03
SKU00114,Codeine,Analgesic,500mg,Injection,Neimeth,7474,10783.64,238,92,BT954766,Emzor Pharmaceuticals,D2,2030-01-20
SKU00115,Metronidazole,Antifungal,200mg,Capsule,May & Baker,12231,15214.1,720,85,BT142775,Fidson Healthcare,A1,2027-06-06
SKU00116,Cloxacillin,Antibiotic,125mg,Tablet,Evans,7217,9327.48,406,85,BT718499,Drugfield Pharmaceuticals,C3,2026-10-12
SKU00117,Finasteride,General Medicine,50mg,Capsule,Swiss Pharma,18875,21910.65,371,80,BT734589,Drugfield Pharmaceuticals,A1,2027-07-09
SKU00118,Heparin,Anticoagulant,5mg,Injection,May & Baker,4377,5815.42,979,40,BT335642,Swiss Pharma Nigeria,C1,2027-05-04
SKU00119,Ibuprofen,NSAID,50mg,Tablet,Evans,16595,20077.7,898,64,BT905082,Fidson Healthcare,C3,2026-10-13
SKU00120,Imipenem,Antibiotic,500mg,Suspension,Swiss Pharma,1064,1546.89,196,30,BT722788,Drugfield Pharmaceuticals,B1,2026-11-06
SKU00121,Praziquantel,General Medicine,5mg,Tablet,GSK,2270,3083.66,17,86,BT292840,Evans Medical,B2,2027-10-10
SKU00122,Atorvastatin,Statin,20mg,Tablet,Neimeth,9396,11995.13,132,63,BT291962,Emzor Pharmaceuticals,A3,2029-03-24
SKU00123,Carvedilol,General Medicine,5mg,Tablet,Juhel,8312,9697.23,620,60,BT354562,Drugfield Pharmaceuticals,D2,2028-08-08
SKU00124,Escitalopram,Psychiatric,100mg,Tablet,Swiss Pharma,18047,23300.02,872,98,BT938491,Fidson Healthcare,A3,2027-01-18
SKU00125,Spironolactone,Diuretic,100mg,Tablet,Pfizer,1753,2026.84,787,78,BT771765,Fidson Healthcare,C2,2027-04-25
SKU00126,Amoxicillin,Antibiotic,625mg,Tablet,Pfizer,12113,14673.1,866,21,BT117333,Fidson Healthcare,D3,2028-11-04
SKU00127,Bisoprolol,Antihypertensive,50mg,Tablet,Neimeth,13046,19523.26,883,32,BT946204,Swiss Pharma Nigeria,A3,2029-03-14
SKU00128,Heparin,Anticoagulant,5mg,Injection,Fidson,17141,25434.64,376,37,BT973655,May & Baker Nigeria,C3,2028-10-04
SKU00129,Dexamethasone,Corticosteroid,5mg,Injection,Pfizer,11755,16389.14,737,96,BT496946,Swiss Pharma Nigeria,A3,2027-05-02
SKU00130,Chlorpheniramine,Antihistamine,4mg,Syrup,Evans,11123,17099.87,43,83,BT158963,Swiss Pharma Nigeria,B3,2028-03-25
SKU00131,Mirtazapine,Psychiatric,50mg,Tablet,Evans,635,766.24,939,92,BT671287,Evans Medical,C2,2030-02-03
SKU00132,Piperacillin,Antibiotic,1g,Suspension,Fidson,10630,14041.09,605,43,BT855590,Evans Medical,D1,2027-06-30
SKU00133,Lamotrigine,Antiepileptic,500mg,Capsule,Fidson,3723,5569.72,176,73,BT757471,May & Baker Nigeria,A2,2027-03-23
SKU00134,Clopidogrel,Anticoagulant,10mg,Injection,GSK,12944,19299.1,828,58,BT158471,Emzor Pharmaceuticals,A1,2027-05-28
SKU00135,Ropinirole,General Medicine,10mg,Tablet,Evans,10840,13732.31,545,41,BT606744,Fidson Healthcare,D1,2027-12-10
SKU00136,Potassium Chloride,General Medicine,50mg,Capsule,Pfizer,12339,18806.64,447,100,BT913967,May & Baker Nigeria,A3,2029-08-10
SKU00137,Levetiracetam,Antiepileptic,200mg,Capsule,Neimeth,8407,12129.98,176,75,BT856467,Emzor Pharmaceuticals,A2,2030-03-14
SKU00138,Citalopram,Psychiatric,50mg,Tablet,Emzor,13271,16064.35,957,90,BT566831,Fidson Healthcare,A3,2029-08-05
SKU00139,Meropenem,Antibiotic,250mg,Injection,GSK,15160,20200.99,505,72,BT635299,Emzor Pharmaceuticals,A2,2029-12-15
SKU00140,Methylprednisolone,Corticosteroid,40mg,Cream,Evans,11423,18121.2,273,49,BT300323,Emzor Pharmaceuticals,B1,2028-03-29
SKU00141,Aluminium Hydroxide,General Medicine,25mg,Tablet,Neimeth,8508,11308.87,121,61,BT583554,Swiss Pharma Nigeria,D2,2029-02-21
SKU00142,Losartan,Antihypertensive,50mg,Tablet,Emzor,3677,5439.21,77,88,BT860009,May & Baker Nigeria,D3,2028-09-23
SKU00143,Atorvastatin,Statin,10mg,Tablet,Pfizer,7674,10832.05,734,41,BT805464,Fidson Healthcare,C1,2027-10-23
SKU00144,Insulin Aspart,Antidiabetic,10mg,Tablet,Emzor,6108,7100.72,755,26,BT404362,May & Baker Nigeria,D3,2028-04-21
SKU00145,Apixaban,Anticoagulant,2.5mg,Injection,May & Baker,5449,6599.91,311,28,BT612707,May & Baker Nigeria,D3,2029-03-16
SKU00146,Hydrochlorothiazide,Diuretic,25mg,Tablet,Neimeth,12844,18814.14,945,85,BT942158,Evans Medical,B3,2027-10-20
SKU00147,Ramipril,Antihypertensive,5mg,Tablet,Fidson,2293,3129.53,454,83,BT834734,Fidson Healthcare,C3,2028-12-27
SKU00148,Folic Acid,General Medicine,25mg,Tablet,Juhel,5766,8666.21,910,27,BT817481,Drugfield Pharmaceuticals,A1,2027-05-27
SKU00149,Codeine,Analgesic,500mg,Syrup,Evans,15678,25067.42,682,100,BT712084,Emzor Pharmaceuticals,C1,2028-02-29
SKU00150,Artesunate,Antimalarial,20/120mg,Injection,Juhel,17860,22848.62,279,32,BT623968,May & Baker Nigeria,B3,2030-03-23
SKU00151,Aluminium Hydroxide,General Medicine,10mg,Tablet,May & Baker,9644,11824.3,736,90,BT466749,Evans Medical,C2,2027-09-29
SKU00152,Hydrocortisone,Corticosteroid,4mg,Tablet,GSK,13654,21731.04,271,100,BT274118,Drugfield Pharmaceuticals,B2,2029-09-18
SKU00153,Rivaroxaban,Anticoagulant,20mg,Injection,Neimeth,15481,23969.31,564,62,BT339308,Emzor Pharmaceuticals,C3,2028-11-11
SKU00154,Valacyclovir,Antiviral,400mg,Tablet,Juhel,12794,17123.55,668,26,BT107151,Swiss Pharma Nigeria,A3,2029-08-11
SKU00155,Metformin,Antidiabetic,1000mg,Injection,Emzor,15594,18226.22,197,50,BT517777,Drugfield Pharmaceuticals,B3,2028-12-14
SKU00156,Paracetamol,Analgesic,1000mg,Injection,Swiss Pharma,12006,17245.98,989,81,BT146439,May & Baker Nigeria,C1,2028-01-18
SKU00157,Sertraline,Psychiatric,5mg,Tablet,Drugfield,7805,12052.53,678,34,BT217487,Swiss Pharma Nigeria,B1,2029-01-04
SKU00158,Ibuprofen,NSAID,500mg,Tablet,Pfizer,13221,16343.04,265,65,BT108209,Fidson Healthcare,A1,2027-03-03
SKU00159,Haloperidol,Psychiatric,25mg,Tablet,Juhel,12887,17954.57,554,75,BT803151,Swiss Pharma Nigeria,D2,2027-12-19
SKU00160,Methotrexate,General Medicine,50mg,Capsule,May & Baker,12338,18481.09,315,87,BT567406,Fidson Healthcare,B2,2027-08-18
SKU00161,Dexamethasone,Corticosteroid,40mg,Tablet,Swiss Pharma,1744,2740.7,156,99,BT994799,Evans Medical,C3,2026-12-15
SKU00162,Chlorpromazine,Psychiatric,50mg,Tablet,Fidson,15509,19454.38,109,38,BT848532,Fidson Healthcare,D3,2027-08-03
SKU00163,Lisinopril,Antihypertensive,100mg,Tablet,Fidson,5086,6813.1,659,37,BT406828,Evans Medical,C1,2029-01-10
SKU00164,Itraconazole,Antifungal,150mg,Cream,Neimeth,4136,5120.89,453,94,BT373290,May & Baker Nigeria,B2,2027-09-15
SKU00165,Hydrocortisone,Corticosteroid,100mg,Injection,Evans,5247,8037.94,19,75,BT978303,May & Baker Nigeria,D1,2028-11-01
SKU00166,Methylprednisolone,Corticosteroid,100mg,Cream,Emzor,2798,3290.85,199,31,BT825789,Drugfield Pharmaceuticals,A2,2027-08-22
SKU00167,Apixaban,Anticoagulant,2.5mg,Tablet,May & Baker,19076,24376.92,175,98,BT295795,Swiss Pharma Nigeria,C1,2028-08-27
SKU00168,Terbutaline,Respiratory,200mcg,Tablet,Evans,3823,4653.69,429,29,BT412095,Swiss Pharma Nigeria,A3,2028-02-23
SKU00169,Apixaban,Anticoagulant,20mg,Injection,Pfizer,3855,5478.8,937,48,BT535191,May & Baker Nigeria,D3,2026-10-31
SKU00170,Quetiapine,Psychiatric,5mg,Tablet,Swiss Pharma,10515,16078.41,431,56,BT592784,Fidson Healthcare,A1,2029-02-17
SKU00171,Zinc Sulphate,General Medicine,10mg,Tablet,Fidson,1720,2458.77,479,70,BT620512,Evans Medical,A1,2029-09-20
SKU00172,Tadalafil,General Medicine,25mg,Capsule,GSK,1476,1766.57,901,88,BT335764,Swiss Pharma Nigeria,C3,2028-09-18
SKU00173,Naproxen,NSAID,50mg,Gel,Drugfield,3193,4541.57,351,20,BT100351,Fidson Healthcare,D2,2028-03-25
SKU00174,Olanzapine,Psychiatric,5mg,Tablet,Juhel,4672,5671.42,615,90,BT780464,Swiss Pharma Nigeria,D1,2029-05-24
SKU00175,Betamethasone,Corticosteroid,100mg,Tablet,Neimeth,16517,22087.73,47,45,BT567545,Drugfield Pharmaceuticals,B2,2029-10-23
SKU00176,Sodium Valproate,Antiepileptic,300mg,Capsule,Drugfield,16919,23687.19,2,21,BT682985,Swiss Pharma Nigeria,C1,2030-02-05
SKU00177,Isoniazid,Antibiotic,125mg,Capsule,Pfizer,13061,20756.39,440,37,BT897584,May & Baker Nigeria,B2,2028-12-08
SKU00178,Montelukast,Respiratory,4mg,Tablet,May & Baker,14659,19301.73,695,87,BT468086,Fidson Healthcare,A2,2029-03-17
SKU00179,Itraconazole,Antifungal,150mg,Cream,Juhel,3557,4973.27,472,31,BT686634,Fidson Healthcare,B2,2030-04-19
SKU00180,Spironolactone,Diuretic,40mg,Tablet,Pfizer,6024,8667.31,86,41,BT949525,Fidson Healthcare,C1,2030-05-31
SKU00181,Insulin Regular,Antidiabetic,850mg,Tablet,Swiss Pharma,17773,26021.92,904,50,BT289701,May & Baker Nigeria,C1,2028-07-27
SKU00182,Dapagliflozin,Antidiabetic,850mg,Injection,Pfizer,15827,20017.27,387,75,BT512128,Fidson Healthcare,A2,2027-08-08
SKU00183,Artemether,Antimalarial,200mg,Tablet,Fidson,3806,5646.85,670,93,BT823977,Fidson Healthcare,D1,2028-12-30
SKU00184,Piperacillin,Antibiotic,625mg,Injection,Juhel,6587,10278.29,178,31,BT865752,Fidson Healthcare,C3,2030-01-24
SKU00185,Ramipril,Antihypertensive,25mg,Tablet,Pfizer,6524,10318.01,741,89,BT850481,May & Baker Nigeria,A2,2028-04-21
SKU00186,Lumefantrine,Antimalarial,100mg,Tablet,Pfizer,11975,15005.87,592,23,BT235809,May & Baker Nigeria,D3,2027-07-14
SKU00187,Levodopa,General Medicine,10mg,Capsule,Drugfield,16407,20585.77,707,67,BT583748,Swiss Pharma Nigeria,A3,2028-06-14
